etiqueta,fecha,hora,temperatura
U,18-09-2016,05:14:58,12.3097511445
V,18-09-2016,05:14:58,12.4367422877
a,18-09-2016,05:14:58,12.1457357077
b,18-09-2016,05:14:58,12.0863493866
G,18-09-2016,05:15:00,12.6132646219
K,18-09-2016,05:15:00,12.4976704145
L,18-09-2016,05:15:00,12.4758428005
O,18-09-2016,05:15:00,11.9913364341
U,18-09-2016,05:19:58,12.2942106452
V,18-09-2016,05:19:58,12.4053042117
a,18-09-2016,05:19:58,12.0997642739
b,18-09-2016,05:19:58,12.0551737777
G,18-09-2016,05:20:00,12.6287562901
K,18-09-2016,05:20:00,12.5285225172
L,18-09-2016,05:20:00,12.5064934749
O,18-09-2016,05:20:00,12.037848062
U,18-09-2016,05:24:58,12.1698866508
V,18-09-2016,05:24:58,12.3109899835
a,18-09-2016,05:24:58,12.0078214063
b,18-09-2016,05:24:58,12.0239981688
G,18-09-2016,05:25:00,12.5512979491
K,18-09-2016,05:25:00,12.3896880547
L,18-09-2016,05:25:00,12.3992161143
O,18-09-2016,05:25:00,11.9603286822
U,18-09-2016,05:29:58,12.1232651529
V,18-09-2016,05:29:58,12.2009567173
a,18-09-2016,05:29:58,11.8545832937
b,18-09-2016,05:29:58,11.9304713422
G,18-09-2016,05:30:00,12.4893312763
K,18-09-2016,05:30:00,12.3279838491
L,18-09-2016,05:30:00,12.3225894281
O,18-09-2016,05:30:00,11.8983131783
U,18-09-2016,05:34:58,12.0455626564
V,18-09-2016,05:34:58,12.1537996032
a,18-09-2016,05:34:58,11.7473166148
b,18-09-2016,05:34:58,11.8681201245
G,18-09-2016,05:35:00,12.3653979308
K,18-09-2016,05:35:00,12.2508535921
L,18-09-2016,05:35:00,12.2153120674
O,18-09-2016,05:35:00,11.7742821705
U,18-09-2016,05:39:58,11.9367791613
V,18-09-2016,05:39:58,12.028047299
a,18-09-2016,05:39:58,11.6706975584
b,18-09-2016,05:39:58,11.7590054935
G,18-09-2016,05:40:00,12.303431258
K,18-09-2016,05:40:00,12.204575438
L,18-09-2016,05:40:00,12.1540107184
O,18-09-2016,05:40:00,11.6812589147
U,18-09-2016,05:44:58,11.7969146676
V,18-09-2016,05:44:58,11.9337330709
a,18-09-2016,05:44:58,11.5174594458
b,18-09-2016,05:44:58,11.5407762315
G,18-09-2016,05:45:00,12.1485145761
K,18-09-2016,05:45:00,12.0811670268
L,18-09-2016,05:45:00,12.0314080205
O,18-09-2016,05:45:00,11.5727317829
U,18-09-2016,05:49:58,11.7347526705
V,18-09-2016,05:49:58,11.9022949948
a,18-09-2016,05:49:58,11.4561642007
b,18-09-2016,05:49:58,11.4472494049
G,18-09-2016,05:50:00,12.1330229079
K,18-09-2016,05:50:00,12.0965930782
L,18-09-2016,05:50:00,11.9241306598
O,18-09-2016,05:50:00,11.5107162791
U,18-09-2016,05:54:58,11.7192121712
V,18-09-2016,05:54:58,11.9022949948
a,18-09-2016,05:54:58,11.3795451444
b,18-09-2016,05:54:58,11.3693103827
G,18-09-2016,05:55:00,12.0865479033
K,18-09-2016,05:55:00,12.0657409754
L,18-09-2016,05:55:00,11.8781546481
O,18-09-2016,05:55:00,11.4952124031
U,18-09-2016,05:59:58,11.657050174
V,18-09-2016,05:59:58,11.8236998047
a,18-09-2016,05:59:58,11.2876022768
b,18-09-2016,05:59:58,11.3225469694
G,18-09-2016,06:00:00,12.0555645669
K,18-09-2016,06:00:00,12.050314924
L,18-09-2016,06:00:00,11.8321786364
O,18-09-2016,06:00:00,11.4331968992
U,18-09-2016,06:04:58,11.7502931697
V,18-09-2016,06:04:58,11.9494521089
a,18-09-2016,06:04:58,11.4255165782
b,18-09-2016,06:04:58,11.306959165
G,18-09-2016,06:05:00,12.1175312397
K,18-09-2016,06:05:00,12.0965930782
L,18-09-2016,06:05:00,11.9547813343
O,18-09-2016,06:05:00,11.4797085271
U,18-09-2016,06:09:58,11.765833669
V,18-09-2016,06:09:58,11.9808901849
a,18-09-2016,06:09:58,11.3948689556
b,18-09-2016,06:09:58,11.3225469694
G,18-09-2016,06:10:00,12.1020395715
K,18-09-2016,06:10:00,12.0811670268
L,18-09-2016,06:10:00,11.9088053226
O,18-09-2016,06:10:00,11.4176930233
U,18-09-2016,06:14:58,11.921238662
V,18-09-2016,06:14:58,12.0909234511
a,18-09-2016,06:14:58,11.6247261246
b,18-09-2016,06:14:58,11.4316616004
G,18-09-2016,06:15:00,12.2569562534
K,18-09-2016,06:15:00,12.1582972838
L,18-09-2016,06:15:00,12.062058695
O,18-09-2016,06:15:00,11.4797085271
U,18-09-2016,06:19:58,11.921238662
V,18-09-2016,06:19:58,12.028047299
a,18-09-2016,06:19:58,11.6247261246
b,18-09-2016,06:19:58,11.4472494049
G,18-09-2016,06:20:00,12.225972917
K,18-09-2016,06:20:00,12.1120191296
L,18-09-2016,06:20:00,11.9854320088
O,18-09-2016,06:20:00,11.5107162791
U,18-09-2016,06:24:58,11.8746171641
V,18-09-2016,06:24:58,11.996609223
a,18-09-2016,06:24:58,11.532783257
b,18-09-2016,06:24:58,11.4784250137
G,18-09-2016,06:25:00,12.1640062443
K,18-09-2016,06:25:00,12.050314924
L,18-09-2016,06:25:00,11.9241306598
O,18-09-2016,06:25:00,11.4797085271
U,18-09-2016,06:29:58,11.8590766648
V,18-09-2016,06:29:58,11.9808901849
a,18-09-2016,06:29:58,11.5174594458
b,18-09-2016,06:29:58,11.4472494049
G,18-09-2016,06:30:00,12.225972917
K,18-09-2016,06:30:00,12.204575438
L,18-09-2016,06:30:00,11.9394559971
O,18-09-2016,06:30:00,11.526220155
U,18-09-2016,06:34:58,12.0455626564
V,18-09-2016,06:34:58,12.2009567173
a,18-09-2016,06:34:58,11.701345181
b,18-09-2016,06:34:58,11.5563640359
G,18-09-2016,06:35:00,12.4428562717
K,18-09-2016,06:35:00,12.3279838491
L,18-09-2016,06:35:00,12.1846613929
O,18-09-2016,06:35:00,11.6502511628
U,18-09-2016,06:39:58,11.9678601599
V,18-09-2016,06:39:58,12.0594853751
a,18-09-2016,06:39:58,11.6247261246
b,18-09-2016,06:39:58,11.5875396448
G,18-09-2016,06:40:00,12.3344145944
K,18-09-2016,06:40:00,12.1737233352
L,18-09-2016,06:40:00,12.1080347067
O,18-09-2016,06:40:00,11.6347472868
U,18-09-2016,06:44:58,11.9367791613
V,18-09-2016,06:44:58,12.0437663371
a,18-09-2016,06:44:58,11.5634308796
b,18-09-2016,06:44:58,11.4940128182
G,18-09-2016,06:45:00,12.2414645852
K,18-09-2016,06:45:00,12.1582972838
L,18-09-2016,06:45:00,12.0314080205
O,18-09-2016,06:45:00,11.541724031
U,18-09-2016,06:49:58,11.8435361655
V,18-09-2016,06:49:58,11.9494521089
a,18-09-2016,06:49:58,11.4561642007
b,18-09-2016,06:49:58,11.4004859916
G,18-09-2016,06:50:00,12.1949895807
K,18-09-2016,06:50:00,12.1428712324
L,18-09-2016,06:50:00,11.9547813343
O,18-09-2016,06:50:00,11.4797085271
U,18-09-2016,06:54:58,11.7036716719
V,18-09-2016,06:54:58,11.8551378807
